bar_no,x_left_mm,x_center_mm,x_right_mm,bar_width_mm,bar_thickness_mm,bar_length_mm
1,108.81,111.31,113.81,5.0,12.0,600.0
2,214.19,216.69,219.19,5.0,12.0,600.0
3,311.19,313.69,316.19,5.0,12.0,600.0
4,399.94,402.44,404.94,5.0,12.0,600.0
5,480.63,483.13,485.63,5.0,12.0,600.0
6,553.51,556.01,558.51,5.0,12.0,600.0
7,618.91,621.41,623.91,5.0,12.0,600.0
8,677.17,679.67,682.17,5.0,12.0,600.0
9,728.74,731.24,733.74,5.0,12.0,600.0
10,774.07,776.57,779.07,5.0,12.0,600.0
11,813.7,816.2,818.7,5.0,12.0,600.0
12,848.18,850.68,853.18,5.0,12.0,600.0
13,878.13,880.63,883.13,5.0,12.0,600.0
14,904.17,906.67,909.17,5.0,12.0,600.0
15,926.98,929.48,931.98,5.0,12.0,600.0
16,947.25,949.75,952.25,5.0,12.0,600.0
17,965.69,968.19,970.69,5.0,12.0,600.0
18,983.03,985.53,988.03,5.0,12.0,600.0
