gap_no,gap_name,between,gap_mm
0,left_edge_gap,left_frame - bar_1,108.81
1,gap_1,bar_1 - bar_2,100.37
2,gap_2,bar_2 - bar_3,92.0
3,gap_3,bar_3 - bar_4,83.75
4,gap_4,bar_4 - bar_5,75.69
5,gap_5,bar_5 - bar_6,67.89
6,gap_6,bar_6 - bar_7,60.39
7,gap_7,bar_7 - bar_8,53.27
8,gap_8,bar_8 - bar_9,46.56
9,gap_9,bar_9 - bar_10,40.33
10,gap_10,bar_10 - bar_11,34.63
11,gap_11,bar_11 - bar_12,29.48
12,gap_12,bar_12 - bar_13,24.94
13,gap_13,bar_13 - bar_14,21.04
14,gap_14,bar_14 - bar_15,17.81
15,gap_15,bar_15 - bar_16,15.27
16,gap_16,bar_16 - bar_17,13.44
17,gap_17,bar_17 - bar_18,12.34
18,right_edge_gap,bar_18 - right_frame,11.97
