bar_no,x_left_mm,x_center_mm,x_right_mm,bar_width_mm,bar_thickness_mm,bar_length_mm
1,134.58,137.08,139.58,5.0,12.0,600.0
2,246.81,249.31,251.81,5.0,12.0,600.0
3,344.85,347.35,349.85,5.0,12.0,600.0
4,431.49,433.99,436.49,5.0,12.0,600.0
5,508.32,510.82,513.32,5.0,12.0,600.0
6,576.47,578.97,581.47,5.0,12.0,600.0
7,636.82,639.32,641.82,5.0,12.0,600.0
8,690.13,692.63,695.13,5.0,12.0,600.0
9,737.06,739.56,742.06,5.0,12.0,600.0
10,778.22,780.72,783.22,5.0,12.0,600.0
11,814.17,816.67,819.17,5.0,12.0,600.0
12,845.45,847.95,850.45,5.0,12.0,600.0
13,872.59,875.09,877.59,5.0,12.0,600.0
14,896.1,898.6,901.1,5.0,12.0,600.0
15,916.46,918.96,921.46,5.0,12.0,600.0
16,934.18,936.68,939.18,5.0,12.0,600.0
17,949.74,952.24,954.74,5.0,12.0,600.0
18,963.62,966.12,968.62,5.0,12.0,600.0
19,976.3,978.8,981.3,5.0,12.0,600.0
20,988.27,990.77,993.27,5.0,12.0,600.0
