gap_no,gap_name,between,gap_mm
0,left_edge_gap,left_frame - bar_1,187.15
1,gap_1,bar_1 - bar_2,103.84
2,gap_2,bar_2 - bar_3,55.96
3,gap_3,bar_3 - bar_4,30.27
4,gap_4,bar_4 - bar_5,17.65
5,gap_5,bar_5 - bar_6,12.14
6,gap_6,bar_6 - bar_7,10.09
7,gap_7,bar_7 - bar_8,9.49
8,gap_8,bar_8 - bar_9,9.37
9,gap_9,bar_9 - bar_10,9.36
10,gap_10,bar_10 - bar_11,9.36
11,gap_11,bar_11 - bar_12,9.36
12,gap_12,bar_12 - bar_13,9.37
13,gap_13,bar_13 - bar_14,9.49
14,gap_14,bar_14 - bar_15,10.09
15,gap_15,bar_15 - bar_16,12.14
16,gap_16,bar_16 - bar_17,17.65
17,gap_17,bar_17 - bar_18,30.27
18,gap_18,bar_18 - bar_19,55.96
19,gap_19,bar_19 - bar_20,103.84
20,right_edge_gap,bar_20 - right_frame,187.15
