bar_no,x_left_mm,x_center_mm,x_right_mm,bar_width_mm,bar_thickness_mm,bar_length_mm
1,83.11,85.61,88.11,5.0,12.0,600.0
2,150.97,153.47,155.97,5.0,12.0,600.0
3,212.36,214.86,217.36,5.0,12.0,600.0
4,269.04,271.54,274.04,5.0,12.0,600.0
5,321.88,324.38,326.88,5.0,12.0,600.0
6,371.44,373.94,376.44,5.0,12.0,600.0
7,418.07,420.57,423.07,5.0,12.0,600.0
8,462.07,464.57,467.07,5.0,12.0,600.0
9,503.65,506.15,508.65,5.0,12.0,600.0
10,542.98,545.48,547.98,5.0,12.0,600.0
11,580.21,582.71,585.21,5.0,12.0,600.0
12,615.47,617.97,620.47,5.0,12.0,600.0
13,648.85,651.35,653.85,5.0,12.0,600.0
14,680.46,682.96,685.46,5.0,12.0,600.0
15,710.36,712.86,715.36,5.0,12.0,600.0
16,738.64,741.14,743.64,5.0,12.0,600.0
17,765.35,767.85,770.35,5.0,12.0,600.0
18,790.55,793.05,795.55,5.0,12.0,600.0
19,814.3,816.8,819.3,5.0,12.0,600.0
20,836.64,839.14,841.64,5.0,12.0,600.0
21,857.61,860.11,862.61,5.0,12.0,600.0
22,877.27,879.77,882.27,5.0,12.0,600.0
23,895.63,898.13,900.63,5.0,12.0,600.0
24,912.75,915.25,917.75,5.0,12.0,600.0
25,928.65,931.15,933.65,5.0,12.0,600.0
26,943.36,945.86,948.36,5.0,12.0,600.0
27,956.91,959.41,961.91,5.0,12.0,600.0
28,969.32,971.82,974.32,5.0,12.0,600.0
29,980.63,983.13,985.63,5.0,12.0,600.0
30,990.84,993.34,995.84,5.0,12.0,600.0
