gap_no,gap_name,between,gap_mm
0,left_edge_gap,left_frame - bar_1,83.11
1,gap_1,bar_1 - bar_2,62.86
2,gap_2,bar_2 - bar_3,56.39
3,gap_3,bar_3 - bar_4,51.68
4,gap_4,bar_4 - bar_5,47.85
5,gap_5,bar_5 - bar_6,44.55
6,gap_6,bar_6 - bar_7,41.64
7,gap_7,bar_7 - bar_8,39.0
8,gap_8,bar_8 - bar_9,36.58
9,gap_9,bar_9 - bar_10,34.33
10,gap_10,bar_10 - bar_11,32.23
11,gap_11,bar_11 - bar_12,30.26
12,gap_12,bar_12 - bar_13,28.38
13,gap_13,bar_13 - bar_14,26.6
14,gap_14,bar_14 - bar_15,24.9
15,gap_15,bar_15 - bar_16,23.27
16,gap_16,bar_16 - bar_17,21.71
17,gap_17,bar_17 - bar_18,20.2
18,gap_18,bar_18 - bar_19,18.75
19,gap_19,bar_19 - bar_20,17.34
20,gap_20,bar_20 - bar_21,15.98
21,gap_21,bar_21 - bar_22,14.65
22,gap_22,bar_22 - bar_23,13.37
23,gap_23,bar_23 - bar_24,12.12
24,gap_24,bar_24 - bar_25,10.9
25,gap_25,bar_25 - bar_26,9.71
26,gap_26,bar_26 - bar_27,8.55
27,gap_27,bar_27 - bar_28,7.41
28,gap_28,bar_28 - bar_29,6.3
29,gap_29,bar_29 - bar_30,5.22
30,right_edge_gap,bar_30 - right_frame,4.16
