bar_no,x_left_mm,x_center_mm,x_right_mm,bar_width_mm,bar_thickness_mm,bar_length_mm
1,46.58,49.08,51.58,5.0,12.0,600.0
2,96.96,99.46,101.96,5.0,12.0,600.0
3,146.14,148.64,151.14,5.0,12.0,600.0
4,194.1,196.6,199.1,5.0,12.0,600.0
5,240.85,243.35,245.85,5.0,12.0,600.0
6,286.36,288.86,291.36,5.0,12.0,600.0
7,330.64,333.14,335.64,5.0,12.0,600.0
8,373.68,376.18,378.68,5.0,12.0,600.0
9,415.46,417.96,420.46,5.0,12.0,600.0
10,455.98,458.48,460.98,5.0,12.0,600.0
11,495.23,497.73,500.23,5.0,12.0,600.0
12,533.2,535.7,538.2,5.0,12.0,600.0
13,569.88,572.38,574.88,5.0,12.0,600.0
14,605.27,607.77,610.27,5.0,12.0,600.0
15,639.35,641.85,644.35,5.0,12.0,600.0
16,672.13,674.63,677.13,5.0,12.0,600.0
17,703.57,706.07,708.57,5.0,12.0,600.0
18,733.69,736.19,738.69,5.0,12.0,600.0
19,762.47,764.97,767.47,5.0,12.0,600.0
20,789.9,792.4,794.9,5.0,12.0,600.0
21,815.97,818.47,820.97,5.0,12.0,600.0
22,840.68,843.18,845.68,5.0,12.0,600.0
23,864.01,866.51,869.01,5.0,12.0,600.0
24,885.95,888.45,890.95,5.0,12.0,600.0
25,906.5,909.0,911.5,5.0,12.0,600.0
26,925.65,928.15,930.65,5.0,12.0,600.0
27,943.38,945.88,948.38,5.0,12.0,600.0
28,959.7,962.2,964.7,5.0,12.0,600.0
29,974.58,977.08,979.58,5.0,12.0,600.0
30,988.01,990.51,993.01,5.0,12.0,600.0
