gap_no,gap_name,between,gap_mm
0,left_edge_gap,left_frame - bar_1,46.58
1,gap_1,bar_1 - bar_2,45.38
2,gap_2,bar_2 - bar_3,44.18
3,gap_3,bar_3 - bar_4,42.96
4,gap_4,bar_4 - bar_5,41.74
5,gap_5,bar_5 - bar_6,40.52
6,gap_6,bar_6 - bar_7,39.28
7,gap_7,bar_7 - bar_8,38.03
8,gap_8,bar_8 - bar_9,36.78
9,gap_9,bar_9 - bar_10,35.52
10,gap_10,bar_10 - bar_11,34.25
11,gap_11,bar_11 - bar_12,32.97
12,gap_12,bar_12 - bar_13,31.68
13,gap_13,bar_13 - bar_14,30.39
14,gap_14,bar_14 - bar_15,29.08
15,gap_15,bar_15 - bar_16,27.77
16,gap_16,bar_16 - bar_17,26.45
17,gap_17,bar_17 - bar_18,25.12
18,gap_18,bar_18 - bar_19,23.78
19,gap_19,bar_19 - bar_20,22.43
20,gap_20,bar_20 - bar_21,21.07
21,gap_21,bar_21 - bar_22,19.71
22,gap_22,bar_22 - bar_23,18.33
23,gap_23,bar_23 - bar_24,16.94
24,gap_24,bar_24 - bar_25,15.55
25,gap_25,bar_25 - bar_26,14.15
26,gap_26,bar_26 - bar_27,12.73
27,gap_27,bar_27 - bar_28,11.31
28,gap_28,bar_28 - bar_29,9.88
29,gap_29,bar_29 - bar_30,8.44
30,right_edge_gap,bar_30 - right_frame,6.99
