bar_no,x_left_mm,x_center_mm,x_right_mm,bar_width_mm,bar_thickness_mm,bar_length_mm
1,4.4,6.9,9.4,5.0,12.0,600.0
2,17.05,19.55,22.05,5.0,12.0,600.0
3,33.04,35.54,38.04,5.0,12.0,600.0
4,52.46,54.96,57.46,5.0,12.0,600.0
5,75.4,77.9,80.4,5.0,12.0,600.0
6,101.93,104.43,106.93,5.0,12.0,600.0
7,132.16,134.66,137.16,5.0,12.0,600.0
8,166.17,168.67,171.17,5.0,12.0,600.0
9,204.07,206.57,209.07,5.0,12.0,600.0
10,245.95,248.45,250.95,5.0,12.0,600.0
11,291.9,294.4,296.9,5.0,12.0,600.0
12,342.04,344.54,347.04,5.0,12.0,600.0
13,396.47,398.97,401.47,5.0,12.0,600.0
14,455.3,457.8,460.3,5.0,12.0,600.0
15,518.64,521.14,523.64,5.0,12.0,600.0
16,586.61,589.11,591.61,5.0,12.0,600.0
17,659.32,661.82,664.32,5.0,12.0,600.0
18,736.88,739.38,741.88,5.0,12.0,600.0
19,819.43,821.93,824.43,5.0,12.0,600.0
20,907.1,909.6,912.1,5.0,12.0,600.0
