gap_no,gap_name,between,gap_mm
0,left_edge_gap,left_frame - bar_1,4.4
1,gap_1,bar_1 - bar_2,7.65
2,gap_2,bar_2 - bar_3,11.0
3,gap_3,bar_3 - bar_4,14.42
4,gap_4,bar_4 - bar_5,17.93
5,gap_5,bar_5 - bar_6,21.53
6,gap_6,bar_6 - bar_7,25.23
7,gap_7,bar_7 - bar_8,29.01
8,gap_8,bar_8 - bar_9,32.9
9,gap_9,bar_9 - bar_10,36.88
10,gap_10,bar_10 - bar_11,40.96
11,gap_11,bar_11 - bar_12,45.14
12,gap_12,bar_12 - bar_13,49.43
13,gap_13,bar_13 - bar_14,53.83
14,gap_14,bar_14 - bar_15,58.34
15,gap_15,bar_15 - bar_16,62.96
16,gap_16,bar_16 - bar_17,67.71
17,gap_17,bar_17 - bar_18,72.57
18,gap_18,bar_18 - bar_19,77.55
19,gap_19,bar_19 - bar_20,82.66
20,right_edge_gap,bar_20 - right_frame,87.9
