bar_no,x_left_mm,x_center_mm,x_right_mm,bar_width_mm,bar_thickness_mm,bar_length_mm
1,3.19,5.69,8.19,5.0,12.0,600.0
2,17.99,20.49,22.99,5.0,12.0,600.0
3,38.24,40.74,43.24,5.0,12.0,600.0
4,63.51,66.01,68.51,5.0,12.0,600.0
5,93.5,96.0,98.5,5.0,12.0,600.0
6,127.95,130.45,132.95,5.0,12.0,600.0
7,166.6,169.1,171.6,5.0,12.0,600.0
8,209.21,211.71,214.21,5.0,12.0,600.0
9,255.53,258.03,260.53,5.0,12.0,600.0
10,305.31,307.81,310.31,5.0,12.0,600.0
11,358.28,360.78,363.28,5.0,12.0,600.0
12,414.18,416.68,419.18,5.0,12.0,600.0
13,472.71,475.21,477.71,5.0,12.0,600.0
14,533.6,536.1,538.6,5.0,12.0,600.0
15,596.54,599.04,601.54,5.0,12.0,600.0
16,661.24,663.74,666.24,5.0,12.0,600.0
17,727.37,729.87,732.37,5.0,12.0,600.0
18,794.64,797.14,799.64,5.0,12.0,600.0
19,862.72,865.22,867.72,5.0,12.0,600.0
20,931.28,933.78,936.28,5.0,12.0,600.0
