gap_no,gap_name,between,gap_mm
0,left_edge_gap,left_frame - bar_1,3.19
1,gap_1,bar_1 - bar_2,9.81
2,gap_2,bar_2 - bar_3,15.25
3,gap_3,bar_3 - bar_4,20.27
4,gap_4,bar_4 - bar_5,24.99
5,gap_5,bar_5 - bar_6,29.44
6,gap_6,bar_6 - bar_7,33.65
7,gap_7,bar_7 - bar_8,37.61
8,gap_8,bar_8 - bar_9,41.32
9,gap_9,bar_9 - bar_10,44.78
10,gap_10,bar_10 - bar_11,47.97
11,gap_11,bar_11 - bar_12,50.89
12,gap_12,bar_12 - bar_13,53.53
13,gap_13,bar_13 - bar_14,55.89
14,gap_14,bar_14 - bar_15,57.94
15,gap_15,bar_15 - bar_16,59.7
16,gap_16,bar_16 - bar_17,61.14
17,gap_17,bar_17 - bar_18,62.27
18,gap_18,bar_18 - bar_19,63.07
19,gap_19,bar_19 - bar_20,63.56
20,right_edge_gap,bar_20 - right_frame,63.72
