bar_no,x_left_mm,x_center_mm,x_right_mm,bar_width_mm,bar_thickness_mm,bar_length_mm
1,74.37,76.87,79.37,5.0,12.0,600.0
2,153.75,156.25,158.75,5.0,12.0,600.0
3,233.12,235.62,238.12,5.0,12.0,600.0
4,312.49,314.99,317.49,5.0,12.0,600.0
5,391.86,394.36,396.86,5.0,12.0,600.0
6,471.17,473.67,476.17,5.0,12.0,600.0
7,550.23,552.73,555.23,5.0,12.0,600.0
8,628.47,630.97,633.47,5.0,12.0,600.0
9,704.59,707.09,709.59,5.0,12.0,600.0
10,776.37,778.87,781.37,5.0,12.0,600.0
11,840.74,843.24,845.74,5.0,12.0,600.0
12,894.52,897.02,899.52,5.0,12.0,600.0
13,935.62,938.12,940.62,5.0,12.0,600.0
14,964.31,966.81,969.31,5.0,12.0,600.0
15,983.84,986.34,988.84,5.0,12.0,600.0
