gap_no,gap_name,between,gap_mm
0,left_edge_gap,left_frame - bar_1,74.37
1,gap_1,bar_1 - bar_2,74.37
2,gap_2,bar_2 - bar_3,74.37
3,gap_3,bar_3 - bar_4,74.37
4,gap_4,bar_4 - bar_5,74.37
5,gap_5,bar_5 - bar_6,74.31
6,gap_6,bar_6 - bar_7,74.06
7,gap_7,bar_7 - bar_8,73.24
8,gap_8,bar_8 - bar_9,71.13
9,gap_9,bar_9 - bar_10,66.78
10,gap_10,bar_10 - bar_11,59.37
11,gap_11,bar_11 - bar_12,48.78
12,gap_12,bar_12 - bar_13,36.1
13,gap_13,bar_13 - bar_14,23.69
14,gap_14,bar_14 - bar_15,14.53
15,right_edge_gap,bar_15 - right_frame,11.16
