bar_no,x_left_mm,x_center_mm,x_right_mm,bar_width_mm,bar_thickness_mm,bar_length_mm
1,163.73,166.23,168.73,5.0,12.0,600.0
2,267.98,270.48,272.98,5.0,12.0,600.0
3,355.54,358.04,360.54,5.0,12.0,600.0
4,431.52,434.02,436.52,5.0,12.0,600.0
5,498.42,500.92,503.42,5.0,12.0,600.0
6,557.79,560.29,562.79,5.0,12.0,600.0
7,610.74,613.24,615.74,5.0,12.0,600.0
8,658.15,660.65,663.15,5.0,12.0,600.0
9,700.7,703.2,705.7,5.0,12.0,600.0
10,738.99,741.49,743.99,5.0,12.0,600.0
11,773.52,776.02,778.52,5.0,12.0,600.0
12,804.76,807.26,809.76,5.0,12.0,600.0
13,833.13,835.63,838.13,5.0,12.0,600.0
14,859.03,861.53,864.03,5.0,12.0,600.0
15,882.81,885.31,887.81,5.0,12.0,600.0
16,904.83,907.33,909.83,5.0,12.0,600.0
17,925.43,927.93,930.43,5.0,12.0,600.0
18,944.93,947.43,949.93,5.0,12.0,600.0
19,963.65,966.15,968.65,5.0,12.0,600.0
20,981.9,984.4,986.9,5.0,12.0,600.0
