bar_no,x_left_mm,x_center_mm,x_right_mm,bar_width_mm,bar_thickness_mm,bar_length_mm
1,32.15,34.65,37.15,5.0,12.0,600.0
2,69.3,71.8,74.3,5.0,12.0,600.0
3,106.45,108.95,111.45,5.0,12.0,600.0
4,143.6,146.1,148.6,5.0,12.0,600.0
5,180.75,183.25,185.75,5.0,12.0,600.0
6,217.91,220.41,222.91,5.0,12.0,600.0
7,255.05,257.55,260.05,5.0,12.0,600.0
8,292.2,294.7,297.2,5.0,12.0,600.0
9,329.34,331.84,334.34,5.0,12.0,600.0
10,366.47,368.97,371.47,5.0,12.0,600.0
11,403.58,406.08,408.58,5.0,12.0,600.0
12,440.65,443.15,445.65,5.0,12.0,600.0
13,477.68,480.18,482.68,5.0,12.0,600.0
14,514.63,517.13,519.63,5.0,12.0,600.0
15,551.47,553.97,556.47,5.0,12.0,600.0
16,588.14,590.64,593.14,5.0,12.0,600.0
17,624.59,627.09,629.59,5.0,12.0,600.0
18,660.73,663.23,665.73,5.0,12.0,600.0
19,696.45,698.95,701.45,5.0,12.0,600.0
20,731.63,734.13,736.63,5.0,12.0,600.0
21,766.1,768.6,771.1,5.0,12.0,600.0
22,799.66,802.16,804.66,5.0,12.0,600.0
23,832.06,834.56,837.06,5.0,12.0,600.0
24,863.01,865.51,868.01,5.0,12.0,600.0
25,892.15,894.65,897.15,5.0,12.0,600.0
26,919.08,921.58,924.08,5.0,12.0,600.0
27,943.28,945.78,948.28,5.0,12.0,600.0
28,964.2,966.7,969.2,5.0,12.0,600.0
29,981.16,983.66,986.16,5.0,12.0,600.0
30,993.39,995.89,998.39,5.0,12.0,600.0
