gap_no,gap_name,between,gap_mm
0,left_edge_gap,left_frame - bar_1,32.15
1,gap_1,bar_1 - bar_2,32.15
2,gap_2,bar_2 - bar_3,32.15
3,gap_3,bar_3 - bar_4,32.15
4,gap_4,bar_4 - bar_5,32.15
5,gap_5,bar_5 - bar_6,32.15
6,gap_6,bar_6 - bar_7,32.15
7,gap_7,bar_7 - bar_8,32.15
8,gap_8,bar_8 - bar_9,32.14
9,gap_9,bar_9 - bar_10,32.13
10,gap_10,bar_10 - bar_11,32.11
11,gap_11,bar_11 - bar_12,32.08
12,gap_12,bar_12 - bar_13,32.03
13,gap_13,bar_13 - bar_14,31.95
14,gap_14,bar_14 - bar_15,31.84
15,gap_15,bar_15 - bar_16,31.67
16,gap_16,bar_16 - bar_17,31.45
17,gap_17,bar_17 - bar_18,31.14
18,gap_18,bar_18 - bar_19,30.73
19,gap_19,bar_19 - bar_20,30.18
20,gap_20,bar_20 - bar_21,29.47
21,gap_21,bar_21 - bar_22,28.56
22,gap_22,bar_22 - bar_23,27.4
23,gap_23,bar_23 - bar_24,25.95
24,gap_24,bar_24 - bar_25,24.14
25,gap_25,bar_25 - bar_26,21.92
26,gap_26,bar_26 - bar_27,19.21
27,gap_27,bar_27 - bar_28,15.92
28,gap_28,bar_28 - bar_29,11.96
29,gap_29,bar_29 - bar_30,7.23
30,right_edge_gap,bar_30 - right_frame,1.61
