bar_no,x_left_mm,x_center_mm,x_right_mm,bar_width_mm,bar_thickness_mm,bar_length_mm
1,69.76,72.26,74.76,5.0,12.0,600.0
2,143.38,145.88,148.38,5.0,12.0,600.0
3,215.73,218.23,220.73,5.0,12.0,600.0
4,286.65,289.15,291.65,5.0,12.0,600.0
5,355.97,358.47,360.97,5.0,12.0,600.0
6,423.51,426.01,428.51,5.0,12.0,600.0
7,489.07,491.57,494.07,5.0,12.0,600.0
8,552.4,554.9,557.4,5.0,12.0,600.0
9,613.24,615.74,618.24,5.0,12.0,600.0
10,671.3,673.8,676.3,5.0,12.0,600.0
11,726.26,728.76,731.26,5.0,12.0,600.0
12,777.75,780.25,782.75,5.0,12.0,600.0
13,825.37,827.87,830.37,5.0,12.0,600.0
14,868.65,871.15,873.65,5.0,12.0,600.0
15,907.09,909.59,912.09,5.0,12.0,600.0
16,940.12,942.62,945.12,5.0,12.0,600.0
17,967.1,969.6,972.1,5.0,12.0,600.0
18,987.33,989.83,992.33,5.0,12.0,600.0
