gap_no,gap_name,between,gap_mm
0,left_edge_gap,left_frame - bar_1,69.76
1,gap_1,bar_1 - bar_2,68.62
2,gap_2,bar_2 - bar_3,67.34
3,gap_3,bar_3 - bar_4,65.92
4,gap_4,bar_4 - bar_5,64.32
5,gap_5,bar_5 - bar_6,62.54
6,gap_6,bar_6 - bar_7,60.55
7,gap_7,bar_7 - bar_8,58.33
8,gap_8,bar_8 - bar_9,55.84
9,gap_9,bar_9 - bar_10,53.06
10,gap_10,bar_10 - bar_11,49.96
11,gap_11,bar_11 - bar_12,46.49
12,gap_12,bar_12 - bar_13,42.61
13,gap_13,bar_13 - bar_14,38.28
14,gap_14,bar_14 - bar_15,33.44
15,gap_15,bar_15 - bar_16,28.03
16,gap_16,bar_16 - bar_17,21.98
17,gap_17,bar_17 - bar_18,15.23
18,right_edge_gap,bar_18 - right_frame,7.67
