bar_no,x_left_mm,x_center_mm,x_right_mm,bar_width_mm,bar_thickness_mm,bar_length_mm
1,40.44,42.94,45.44,5.0,12.0,600.0
2,85.83,88.33,90.83,5.0,12.0,600.0
3,131.1,133.6,136.1,5.0,12.0,600.0
4,176.16,178.66,181.16,5.0,12.0,600.0
5,220.91,223.41,225.91,5.0,12.0,600.0
6,265.28,267.78,270.28,5.0,12.0,600.0
7,309.18,311.68,314.18,5.0,12.0,600.0
8,352.53,355.03,357.53,5.0,12.0,600.0
9,395.24,397.74,400.24,5.0,12.0,600.0
10,437.22,439.72,442.22,5.0,12.0,600.0
11,478.39,480.89,483.39,5.0,12.0,600.0
12,518.66,521.16,523.66,5.0,12.0,600.0
13,557.95,560.45,562.95,5.0,12.0,600.0
14,596.18,598.68,601.18,5.0,12.0,600.0
15,633.25,635.75,638.25,5.0,12.0,600.0
16,669.08,671.58,674.08,5.0,12.0,600.0
17,703.59,706.09,708.59,5.0,12.0,600.0
18,736.7,739.2,741.7,5.0,12.0,600.0
19,768.3,770.8,773.3,5.0,12.0,600.0
20,798.33,800.83,803.33,5.0,12.0,600.0
21,826.7,829.2,831.7,5.0,12.0,600.0
22,853.31,855.81,858.31,5.0,12.0,600.0
23,878.09,880.59,883.09,5.0,12.0,600.0
24,900.95,903.45,905.95,5.0,12.0,600.0
25,921.8,924.3,926.8,5.0,12.0,600.0
26,940.56,943.06,945.56,5.0,12.0,600.0
27,957.14,959.64,962.14,5.0,12.0,600.0
28,971.46,973.96,976.46,5.0,12.0,600.0
29,983.44,985.94,988.44,5.0,12.0,600.0
30,992.98,995.48,997.98,5.0,12.0,600.0
