gap_no,gap_name,between,gap_mm
0,left_edge_gap,left_frame - bar_1,40.44
1,gap_1,bar_1 - bar_2,40.4
2,gap_2,bar_2 - bar_3,40.27
3,gap_3,bar_3 - bar_4,40.05
4,gap_4,bar_4 - bar_5,39.76
5,gap_5,bar_5 - bar_6,39.37
6,gap_6,bar_6 - bar_7,38.9
7,gap_7,bar_7 - bar_8,38.35
8,gap_8,bar_8 - bar_9,37.71
9,gap_9,bar_9 - bar_10,36.98
10,gap_10,bar_10 - bar_11,36.17
11,gap_11,bar_11 - bar_12,35.27
12,gap_12,bar_12 - bar_13,34.29
13,gap_13,bar_13 - bar_14,33.22
14,gap_14,bar_14 - bar_15,32.07
15,gap_15,bar_15 - bar_16,30.83
16,gap_16,bar_16 - bar_17,29.51
17,gap_17,bar_17 - bar_18,28.1
18,gap_18,bar_18 - bar_19,26.61
19,gap_19,bar_19 - bar_20,25.03
20,gap_20,bar_20 - bar_21,23.36
21,gap_21,bar_21 - bar_22,21.61
22,gap_22,bar_22 - bar_23,19.78
23,gap_23,bar_23 - bar_24,17.86
24,gap_24,bar_24 - bar_25,15.85
25,gap_25,bar_25 - bar_26,13.76
26,gap_26,bar_26 - bar_27,11.58
27,gap_27,bar_27 - bar_28,9.32
28,gap_28,bar_28 - bar_29,6.97
29,gap_29,bar_29 - bar_30,4.54
30,right_edge_gap,bar_30 - right_frame,2.02
