bar_no,x_left_mm,x_center_mm,x_right_mm,bar_width_mm,bar_thickness_mm,bar_length_mm
1,2.64,5.14,7.64,5.0,12.0,600.0
2,31.73,34.23,36.73,5.0,12.0,600.0
3,66.38,68.88,71.38,5.0,12.0,600.0
4,104.88,107.38,109.88,5.0,12.0,600.0
5,146.4,148.9,151.4,5.0,12.0,600.0
6,190.43,192.93,195.43,5.0,12.0,600.0
7,236.59,239.09,241.59,5.0,12.0,600.0
8,284.59,287.09,289.59,5.0,12.0,600.0
9,334.22,336.72,339.22,5.0,12.0,600.0
10,385.26,387.76,390.26,5.0,12.0,600.0
11,437.55,440.05,442.55,5.0,12.0,600.0
12,490.93,493.43,495.93,5.0,12.0,600.0
13,545.27,547.77,550.27,5.0,12.0,600.0
14,600.44,602.94,605.44,5.0,12.0,600.0
15,656.31,658.81,661.31,5.0,12.0,600.0
16,712.76,715.26,717.76,5.0,12.0,600.0
17,769.69,772.19,774.69,5.0,12.0,600.0
18,826.98,829.48,831.98,5.0,12.0,600.0
19,884.53,887.03,889.53,5.0,12.0,600.0
20,942.24,944.74,947.24,5.0,12.0,600.0
