bar_no,x_left_mm,x_center_mm,x_right_mm,bar_width_mm,bar_thickness_mm,bar_length_mm
1,85.58,88.08,90.58,5.0,12.0,600.0
2,170.93,173.43,175.93,5.0,12.0,600.0
3,251.11,253.61,256.11,5.0,12.0,600.0
4,326.18,328.68,331.18,5.0,12.0,600.0
5,396.27,398.77,401.27,5.0,12.0,600.0
6,461.53,464.03,466.53,5.0,12.0,600.0
7,522.16,524.66,527.16,5.0,12.0,600.0
8,578.37,580.87,583.37,5.0,12.0,600.0
9,630.44,632.94,635.44,5.0,12.0,600.0
10,678.66,681.16,683.66,5.0,12.0,600.0
11,723.35,725.85,728.35,5.0,12.0,600.0
12,764.86,767.36,769.86,5.0,12.0,600.0
13,803.56,806.06,808.56,5.0,12.0,600.0
14,839.84,842.34,844.84,5.0,12.0,600.0
15,874.13,876.63,879.13,5.0,12.0,600.0
16,906.84,909.34,911.84,5.0,12.0,600.0
17,938.43,940.93,943.43,5.0,12.0,600.0
18,969.33,971.83,974.33,5.0,12.0,600.0
