bar_no,x_left_mm,x_center_mm,x_right_mm,bar_width_mm,bar_thickness_mm,bar_length_mm
1,82.16,84.66,87.16,5.0,12.0,600.0
2,165.98,168.48,170.98,5.0,12.0,600.0
3,246.38,248.88,251.38,5.0,12.0,600.0
4,323.29,325.79,328.29,5.0,12.0,600.0
5,396.63,399.13,401.63,5.0,12.0,600.0
6,466.32,468.82,471.32,5.0,12.0,600.0
7,532.27,534.77,537.27,5.0,12.0,600.0
8,594.41,596.91,599.41,5.0,12.0,600.0
9,652.65,655.15,657.65,5.0,12.0,600.0
10,706.89,709.39,711.89,5.0,12.0,600.0
11,757.05,759.55,762.05,5.0,12.0,600.0
12,803.04,805.54,808.04,5.0,12.0,600.0
13,844.76,847.26,849.76,5.0,12.0,600.0
14,882.13,884.63,887.13,5.0,12.0,600.0
15,915.03,917.53,920.03,5.0,12.0,600.0
16,943.37,945.87,948.37,5.0,12.0,600.0
17,967.05,969.55,972.05,5.0,12.0,600.0
18,985.96,988.46,990.96,5.0,12.0,600.0
