bar_no,x_left_mm,x_center_mm,x_right_mm,bar_width_mm,bar_thickness_mm,bar_length_mm
1,50.31,52.81,55.31,5.0,12.0,600.0
2,105.62,108.12,110.62,5.0,12.0,600.0
3,160.94,163.44,165.94,5.0,12.0,600.0
4,216.25,218.75,221.25,5.0,12.0,600.0
5,271.56,274.06,276.56,5.0,12.0,600.0
6,326.86,329.36,331.86,5.0,12.0,600.0
7,382.13,384.63,387.13,5.0,12.0,600.0
8,437.36,439.86,442.36,5.0,12.0,600.0
9,492.48,494.98,497.48,5.0,12.0,600.0
10,547.41,549.91,552.41,5.0,12.0,600.0
11,602.0,604.5,607.0,5.0,12.0,600.0
12,656.03,658.53,661.03,5.0,12.0,600.0
13,709.18,711.68,714.18,5.0,12.0,600.0
14,761.0,763.5,766.0,5.0,12.0,600.0
15,810.87,813.37,815.87,5.0,12.0,600.0
16,857.94,860.44,862.94,5.0,12.0,600.0
17,901.12,903.62,906.12,5.0,12.0,600.0
18,938.98,941.48,943.98,5.0,12.0,600.0
19,969.69,972.19,974.69,5.0,12.0,600.0
20,990.98,993.48,995.98,5.0,12.0,600.0
