gap_no,gap_name,between,gap_mm
0,left_edge_gap,left_frame - bar_1,50.31
1,gap_1,bar_1 - bar_2,50.31
2,gap_2,bar_2 - bar_3,50.31
3,gap_3,bar_3 - bar_4,50.31
4,gap_4,bar_4 - bar_5,50.31
5,gap_5,bar_5 - bar_6,50.3
6,gap_6,bar_6 - bar_7,50.28
7,gap_7,bar_7 - bar_8,50.23
8,gap_8,bar_8 - bar_9,50.12
9,gap_9,bar_9 - bar_10,49.93
10,gap_10,bar_10 - bar_11,49.59
11,gap_11,bar_11 - bar_12,49.03
12,gap_12,bar_12 - bar_13,48.15
13,gap_13,bar_13 - bar_14,46.82
14,gap_14,bar_14 - bar_15,44.87
15,gap_15,bar_15 - bar_16,42.07
16,gap_16,bar_16 - bar_17,38.18
17,gap_17,bar_17 - bar_18,32.85
18,gap_18,bar_18 - bar_19,25.71
19,gap_19,bar_19 - bar_20,16.29
20,right_edge_gap,bar_20 - right_frame,4.02
