gap_no,gap_name,between,gap_mm
0,left_edge_gap,left_frame - bar_1,163.73
1,gap_1,bar_1 - bar_2,99.24
2,gap_2,bar_2 - bar_3,82.57
3,gap_3,bar_3 - bar_4,70.98
4,gap_4,bar_4 - bar_5,61.89
5,gap_5,bar_5 - bar_6,54.37
6,gap_6,bar_6 - bar_7,47.96
7,gap_7,bar_7 - bar_8,42.41
8,gap_8,bar_8 - bar_9,37.55
9,gap_9,bar_9 - bar_10,33.28
10,gap_10,bar_10 - bar_11,29.53
11,gap_11,bar_11 - bar_12,26.24
12,gap_12,bar_12 - bar_13,23.37
13,gap_13,bar_13 - bar_14,20.89
14,gap_14,bar_14 - bar_15,18.78
15,gap_15,bar_15 - bar_16,17.02
16,gap_16,bar_16 - bar_17,15.6
17,gap_17,bar_17 - bar_18,14.5
18,gap_18,bar_18 - bar_19,13.72
19,gap_19,bar_19 - bar_20,13.25
20,right_edge_gap,bar_20 - right_frame,13.1
