gap_no,gap_name,between,gap_mm
0,left_edge_gap,left_frame - bar_1,85.58
1,gap_1,bar_1 - bar_2,80.36
2,gap_2,bar_2 - bar_3,75.17
3,gap_3,bar_3 - bar_4,70.07
4,gap_4,bar_4 - bar_5,65.09
5,gap_5,bar_5 - bar_6,60.26
6,gap_6,bar_6 - bar_7,55.63
7,gap_7,bar_7 - bar_8,51.22
8,gap_8,bar_8 - bar_9,47.07
9,gap_9,bar_9 - bar_10,43.22
10,gap_10,bar_10 - bar_11,39.69
11,gap_11,bar_11 - bar_12,36.51
12,gap_12,bar_12 - bar_13,33.7
13,gap_13,bar_13 - bar_14,31.29
14,gap_14,bar_14 - bar_15,29.29
15,gap_15,bar_15 - bar_16,27.71
16,gap_16,bar_16 - bar_17,26.58
17,gap_17,bar_17 - bar_18,25.9
18,right_edge_gap,bar_18 - right_frame,25.67
