bar_no,x_left_mm,x_center_mm,x_right_mm,bar_width_mm,bar_thickness_mm,bar_length_mm
1,27.42,29.92,32.42,5.0,12.0,600.0
2,59.84,62.34,64.84,5.0,12.0,600.0
3,92.26,94.76,97.26,5.0,12.0,600.0
4,124.68,127.18,129.68,5.0,12.0,600.0
5,157.1,159.6,162.1,5.0,12.0,600.0
6,189.52,192.02,194.52,5.0,12.0,600.0
7,221.94,224.44,226.94,5.0,12.0,600.0
8,254.35,256.85,259.35,5.0,12.0,600.0
9,286.77,289.27,291.77,5.0,12.0,600.0
10,319.19,321.69,324.19,5.0,12.0,600.0
11,351.61,354.11,356.61,5.0,12.0,600.0
12,384.03,386.53,389.03,5.0,12.0,600.0
13,416.45,418.95,421.45,5.0,12.0,600.0
14,448.87,451.37,453.87,5.0,12.0,600.0
15,481.29,483.79,486.29,5.0,12.0,600.0
16,513.71,516.21,518.71,5.0,12.0,600.0
17,546.13,548.63,551.13,5.0,12.0,600.0
18,578.55,581.05,583.55,5.0,12.0,600.0
19,610.97,613.47,615.97,5.0,12.0,600.0
20,643.39,645.89,648.39,5.0,12.0,600.0
21,675.81,678.31,680.81,5.0,12.0,600.0
22,708.23,710.73,713.23,5.0,12.0,600.0
23,740.65,743.15,745.65,5.0,12.0,600.0
24,773.06,775.56,778.06,5.0,12.0,600.0
25,805.48,807.98,810.48,5.0,12.0,600.0
26,837.9,840.4,842.9,5.0,12.0,600.0
27,870.32,872.82,875.32,5.0,12.0,600.0
28,902.74,905.24,907.74,5.0,12.0,600.0
29,935.16,937.66,940.16,5.0,12.0,600.0
30,967.58,970.08,972.58,5.0,12.0,600.0
