gap_no,gap_name,between,gap_mm
0,left_edge_gap,left_frame - bar_1,27.42
1,gap_1,bar_1 - bar_2,27.42
2,gap_2,bar_2 - bar_3,27.42
3,gap_3,bar_3 - bar_4,27.42
4,gap_4,bar_4 - bar_5,27.42
5,gap_5,bar_5 - bar_6,27.42
6,gap_6,bar_6 - bar_7,27.42
7,gap_7,bar_7 - bar_8,27.42
8,gap_8,bar_8 - bar_9,27.42
9,gap_9,bar_9 - bar_10,27.42
10,gap_10,bar_10 - bar_11,27.42
11,gap_11,bar_11 - bar_12,27.42
12,gap_12,bar_12 - bar_13,27.42
13,gap_13,bar_13 - bar_14,27.42
14,gap_14,bar_14 - bar_15,27.42
15,gap_15,bar_15 - bar_16,27.42
16,gap_16,bar_16 - bar_17,27.42
17,gap_17,bar_17 - bar_18,27.42
18,gap_18,bar_18 - bar_19,27.42
19,gap_19,bar_19 - bar_20,27.42
20,gap_20,bar_20 - bar_21,27.42
21,gap_21,bar_21 - bar_22,27.42
22,gap_22,bar_22 - bar_23,27.42
23,gap_23,bar_23 - bar_24,27.42
24,gap_24,bar_24 - bar_25,27.42
25,gap_25,bar_25 - bar_26,27.42
26,gap_26,bar_26 - bar_27,27.42
27,gap_27,bar_27 - bar_28,27.42
28,gap_28,bar_28 - bar_29,27.42
29,gap_29,bar_29 - bar_30,27.42
30,right_edge_gap,bar_30 - right_frame,27.42
