bar_no,x_left_mm,x_center_mm,x_right_mm,bar_width_mm,bar_thickness_mm,bar_length_mm
1,7.26,9.76,12.26,5.0,12.0,600.0
2,19.51,22.01,24.51,5.0,12.0,600.0
3,31.77,34.27,36.77,5.0,12.0,600.0
4,44.03,46.53,49.03,5.0,12.0,600.0
5,56.29,58.79,61.29,5.0,12.0,600.0
6,68.55,71.05,73.55,5.0,12.0,600.0
7,80.86,83.36,85.86,5.0,12.0,600.0
8,93.33,95.83,98.33,5.0,12.0,600.0
9,106.26,108.76,111.26,5.0,12.0,600.0
10,120.36,122.86,125.36,5.0,12.0,600.0
11,136.93,139.43,141.93,5.0,12.0,600.0
12,158.1,160.6,163.1,5.0,12.0,600.0
13,186.92,189.42,191.92,5.0,12.0,600.0
14,227.17,229.67,232.17,5.0,12.0,600.0
15,282.91,285.41,287.91,5.0,12.0,600.0
16,357.64,360.14,362.64,5.0,12.0,600.0
17,453.38,455.88,458.38,5.0,12.0,600.0
18,569.83,572.33,574.83,5.0,12.0,600.0
19,703.91,706.41,708.91,5.0,12.0,600.0
20,849.86,852.36,854.86,5.0,12.0,600.0
