bar_no,x_left_mm,x_center_mm,x_right_mm,bar_width_mm,bar_thickness_mm,bar_length_mm
1,122.43,124.93,127.43,5.0,12.0,600.0
2,190.95,193.45,195.95,5.0,12.0,600.0
3,250.71,253.21,255.71,5.0,12.0,600.0
4,304.76,307.26,309.76,5.0,12.0,600.0
5,354.45,356.95,359.45,5.0,12.0,600.0
6,400.6,403.1,405.6,5.0,12.0,600.0
7,443.74,446.24,448.74,5.0,12.0,600.0
8,484.23,486.73,489.23,5.0,12.0,600.0
9,522.37,524.87,527.37,5.0,12.0,600.0
10,558.38,560.88,563.38,5.0,12.0,600.0
11,592.44,594.94,597.44,5.0,12.0,600.0
12,624.71,627.21,629.71,5.0,12.0,600.0
13,655.31,657.81,660.31,5.0,12.0,600.0
14,684.34,686.84,689.34,5.0,12.0,600.0
15,711.91,714.41,716.91,5.0,12.0,600.0
16,738.09,740.59,743.09,5.0,12.0,600.0
17,762.95,765.45,767.95,5.0,12.0,600.0
18,786.56,789.06,791.56,5.0,12.0,600.0
19,808.98,811.48,813.98,5.0,12.0,600.0
20,830.25,832.75,835.25,5.0,12.0,600.0
21,850.43,852.93,855.43,5.0,12.0,600.0
22,869.56,872.06,874.56,5.0,12.0,600.0
23,887.68,890.18,892.68,5.0,12.0,600.0
24,904.82,907.32,909.82,5.0,12.0,600.0
25,921.02,923.52,926.02,5.0,12.0,600.0
26,936.31,938.81,941.31,5.0,12.0,600.0
27,950.71,953.21,955.71,5.0,12.0,600.0
28,964.26,966.76,969.26,5.0,12.0,600.0
29,976.97,979.47,981.97,5.0,12.0,600.0
30,988.88,991.38,993.88,5.0,12.0,600.0
