bar_no,x_left_mm,x_center_mm,x_right_mm,bar_width_mm,bar_thickness_mm,bar_length_mm
1,180.31,182.81,185.31,5.0,12.0,600.0
2,292.3,294.8,297.3,5.0,12.0,600.0
3,385.31,387.81,390.31,5.0,12.0,600.0
4,465.15,467.65,470.15,5.0,12.0,600.0
5,534.65,537.15,539.65,5.0,12.0,600.0
6,595.6,598.1,600.6,5.0,12.0,600.0
7,649.26,651.76,654.26,5.0,12.0,600.0
8,696.61,699.11,701.61,5.0,12.0,600.0
9,738.43,740.93,743.43,5.0,12.0,600.0
10,775.4,777.9,780.4,5.0,12.0,600.0
11,808.1,810.6,813.1,5.0,12.0,600.0
12,837.07,839.57,842.07,5.0,12.0,600.0
13,862.77,865.27,867.77,5.0,12.0,600.0
14,885.65,888.15,890.65,5.0,12.0,600.0
15,906.13,908.63,911.13,5.0,12.0,600.0
16,924.61,927.11,929.61,5.0,12.0,600.0
17,941.46,943.96,946.46,5.0,12.0,600.0
18,957.07,959.57,962.07,5.0,12.0,600.0
19,971.79,974.29,976.79,5.0,12.0,600.0
20,985.98,988.48,990.98,5.0,12.0,600.0
