bar_no,x_left_mm,x_center_mm,x_right_mm,bar_width_mm,bar_thickness_mm,bar_length_mm
1,72.55,75.05,77.55,5.0,12.0,600.0
2,134.25,136.75,139.25,5.0,12.0,600.0
3,191.86,194.36,196.86,5.0,12.0,600.0
4,246.63,249.13,251.63,5.0,12.0,600.0
5,299.16,301.66,304.16,5.0,12.0,600.0
6,349.85,352.35,354.85,5.0,12.0,600.0
7,398.96,401.46,403.96,5.0,12.0,600.0
8,446.7,449.2,451.7,5.0,12.0,600.0
9,493.26,495.76,498.26,5.0,12.0,600.0
10,538.76,541.26,543.76,5.0,12.0,600.0
11,583.35,585.85,588.35,5.0,12.0,600.0
12,627.12,629.62,632.12,5.0,12.0,600.0
13,670.2,672.7,675.2,5.0,12.0,600.0
14,712.66,715.16,717.66,5.0,12.0,600.0
15,754.6,757.1,759.6,5.0,12.0,600.0
16,796.11,798.61,801.11,5.0,12.0,600.0
17,837.27,839.77,842.27,5.0,12.0,600.0
18,878.17,880.67,883.17,5.0,12.0,600.0
19,918.87,921.37,923.87,5.0,12.0,600.0
20,959.45,961.95,964.45,5.0,12.0,600.0
