bar_no,x_left_mm,x_center_mm,x_right_mm,bar_width_mm,bar_thickness_mm,bar_length_mm
1,42.86,45.36,47.86,5.0,12.0,600.0
2,90.71,93.21,95.71,5.0,12.0,600.0
3,138.57,141.07,143.57,5.0,12.0,600.0
4,186.43,188.93,191.43,5.0,12.0,600.0
5,234.29,236.79,239.29,5.0,12.0,600.0
6,282.14,284.64,287.14,5.0,12.0,600.0
7,330.0,332.5,335.0,5.0,12.0,600.0
8,377.86,380.36,382.86,5.0,12.0,600.0
9,425.71,428.21,430.71,5.0,12.0,600.0
10,473.57,476.07,478.57,5.0,12.0,600.0
11,521.43,523.93,526.43,5.0,12.0,600.0
12,569.29,571.79,574.29,5.0,12.0,600.0
13,617.14,619.64,622.14,5.0,12.0,600.0
14,665.0,667.5,670.0,5.0,12.0,600.0
15,712.86,715.36,717.86,5.0,12.0,600.0
16,760.71,763.21,765.71,5.0,12.0,600.0
17,808.57,811.07,813.57,5.0,12.0,600.0
18,856.43,858.93,861.43,5.0,12.0,600.0
19,904.29,906.79,909.29,5.0,12.0,600.0
20,952.14,954.64,957.14,5.0,12.0,600.0
