bar_no,x_left_mm,x_center_mm,x_right_mm,bar_width_mm,bar_thickness_mm,bar_length_mm
1,3.18,5.68,8.18,5.0,12.0,600.0
2,24.87,27.37,29.87,5.0,12.0,600.0
3,52.16,54.66,57.16,5.0,12.0,600.0
4,83.74,86.24,88.74,5.0,12.0,600.0
5,118.95,121.45,123.95,5.0,12.0,600.0
6,157.34,159.84,162.34,5.0,12.0,600.0
7,198.62,201.12,203.62,5.0,12.0,600.0
8,242.55,245.05,247.55,5.0,12.0,600.0
9,288.94,291.44,293.94,5.0,12.0,600.0
10,337.66,340.16,342.66,5.0,12.0,600.0
11,388.57,391.07,393.57,5.0,12.0,600.0
12,441.56,444.06,446.56,5.0,12.0,600.0
13,496.55,499.05,501.55,5.0,12.0,600.0
14,553.45,555.95,558.45,5.0,12.0,600.0
15,612.18,614.68,617.18,5.0,12.0,600.0
16,672.69,675.19,677.69,5.0,12.0,600.0
17,734.92,737.42,739.92,5.0,12.0,600.0
18,798.81,801.31,803.81,5.0,12.0,600.0
19,864.32,866.82,869.32,5.0,12.0,600.0
20,931.39,933.89,936.39,5.0,12.0,600.0
