gap_no,gap_name,between,gap_mm
0,left_edge_gap,left_frame - bar_1,3.18
1,gap_1,bar_1 - bar_2,16.69
2,gap_2,bar_2 - bar_3,22.29
3,gap_3,bar_3 - bar_4,26.58
4,gap_4,bar_4 - bar_5,30.2
5,gap_5,bar_5 - bar_6,33.39
6,gap_6,bar_6 - bar_7,36.28
7,gap_7,bar_7 - bar_8,38.93
8,gap_8,bar_8 - bar_9,41.4
9,gap_9,bar_9 - bar_10,43.72
10,gap_10,bar_10 - bar_11,45.91
11,gap_11,bar_11 - bar_12,47.99
12,gap_12,bar_12 - bar_13,49.99
13,gap_13,bar_13 - bar_14,51.9
14,gap_14,bar_14 - bar_15,53.74
15,gap_15,bar_15 - bar_16,55.51
16,gap_16,bar_16 - bar_17,57.23
17,gap_17,bar_17 - bar_18,58.89
18,gap_18,bar_18 - bar_19,60.51
19,gap_19,bar_19 - bar_20,62.08
20,right_edge_gap,bar_20 - right_frame,63.61
