bar_no,x_left_mm,x_center_mm,x_right_mm,bar_width_mm,bar_thickness_mm,bar_length_mm
1,3.96,6.46,8.96,5.0,12.0,600.0
2,13.65,16.15,18.65,5.0,12.0,600.0
3,25.18,27.68,30.18,5.0,12.0,600.0
4,39.47,41.97,44.47,5.0,12.0,600.0
5,57.31,59.81,62.31,5.0,12.0,600.0
6,79.37,81.87,84.37,5.0,12.0,600.0
7,106.21,108.71,111.21,5.0,12.0,600.0
8,138.25,140.75,143.25,5.0,12.0,600.0
9,175.8,178.3,180.8,5.0,12.0,600.0
10,219.05,221.55,224.05,5.0,12.0,600.0
11,268.02,270.52,273.02,5.0,12.0,600.0
12,322.65,325.15,327.65,5.0,12.0,600.0
13,382.73,385.23,387.73,5.0,12.0,600.0
14,447.92,450.42,452.92,5.0,12.0,600.0
15,517.81,520.31,522.81,5.0,12.0,600.0
16,591.84,594.34,596.84,5.0,12.0,600.0
17,669.39,671.89,674.39,5.0,12.0,600.0
18,749.77,752.27,754.77,5.0,12.0,600.0
19,832.2,834.7,837.2,5.0,12.0,600.0
20,915.89,918.39,920.89,5.0,12.0,600.0
