gap_no,gap_name,between,gap_mm
0,left_edge_gap,left_frame - bar_1,3.96
1,gap_1,bar_1 - bar_2,4.69
2,gap_2,bar_2 - bar_3,6.53
3,gap_3,bar_3 - bar_4,9.29
4,gap_4,bar_4 - bar_5,12.84
5,gap_5,bar_5 - bar_6,17.06
6,gap_6,bar_6 - bar_7,21.84
7,gap_7,bar_7 - bar_8,27.04
8,gap_8,bar_8 - bar_9,32.55
9,gap_9,bar_9 - bar_10,38.24
10,gap_10,bar_10 - bar_11,43.98
11,gap_11,bar_11 - bar_12,49.63
12,gap_12,bar_12 - bar_13,55.08
13,gap_13,bar_13 - bar_14,60.2
14,gap_14,bar_14 - bar_15,64.88
15,gap_15,bar_15 - bar_16,69.03
16,gap_16,bar_16 - bar_17,72.55
17,gap_17,bar_17 - bar_18,75.38
18,gap_18,bar_18 - bar_19,77.43
19,gap_19,bar_19 - bar_20,78.69
20,right_edge_gap,bar_20 - right_frame,79.11
