bar_no,x_left_mm,x_center_mm,x_right_mm,bar_width_mm,bar_thickness_mm,bar_length_mm
1,34.98,37.48,39.98,5.0,12.0,600.0
2,74.96,77.46,79.96,5.0,12.0,600.0
3,114.94,117.44,119.94,5.0,12.0,600.0
4,154.92,157.42,159.92,5.0,12.0,600.0
5,194.9,197.4,199.9,5.0,12.0,600.0
6,234.88,237.38,239.88,5.0,12.0,600.0
7,274.86,277.36,279.86,5.0,12.0,600.0
8,314.84,317.34,319.84,5.0,12.0,600.0
9,354.81,357.31,359.81,5.0,12.0,600.0
10,394.78,397.28,399.78,5.0,12.0,600.0
11,434.73,437.23,439.73,5.0,12.0,600.0
12,474.65,477.15,479.65,5.0,12.0,600.0
13,514.48,516.98,519.48,5.0,12.0,600.0
14,554.17,556.67,559.17,5.0,12.0,600.0
15,593.62,596.12,598.62,5.0,12.0,600.0
16,632.67,635.17,637.67,5.0,12.0,600.0
17,671.12,673.62,676.12,5.0,12.0,600.0
18,708.71,711.21,713.71,5.0,12.0,600.0
19,745.12,747.62,750.12,5.0,12.0,600.0
20,779.98,782.48,784.98,5.0,12.0,600.0
21,812.9,815.4,817.9,5.0,12.0,600.0
22,843.51,846.01,848.51,5.0,12.0,600.0
23,871.45,873.95,876.45,5.0,12.0,600.0
24,896.48,898.98,901.48,5.0,12.0,600.0
25,918.45,920.95,923.45,5.0,12.0,600.0
26,937.41,939.91,942.41,5.0,12.0,600.0
27,953.55,956.05,958.55,5.0,12.0,600.0
28,967.26,969.76,972.26,5.0,12.0,600.0
29,979.1,981.6,984.1,5.0,12.0,600.0
30,989.75,992.25,994.75,5.0,12.0,600.0
