gap_no,gap_name,between,gap_mm
0,left_edge_gap,left_frame - bar_1,34.98
1,gap_1,bar_1 - bar_2,34.98
2,gap_2,bar_2 - bar_3,34.98
3,gap_3,bar_3 - bar_4,34.98
4,gap_4,bar_4 - bar_5,34.98
5,gap_5,bar_5 - bar_6,34.98
6,gap_6,bar_6 - bar_7,34.98
7,gap_7,bar_7 - bar_8,34.98
8,gap_8,bar_8 - bar_9,34.98
9,gap_9,bar_9 - bar_10,34.97
10,gap_10,bar_10 - bar_11,34.95
11,gap_11,bar_11 - bar_12,34.91
12,gap_12,bar_12 - bar_13,34.83
13,gap_13,bar_13 - bar_14,34.69
14,gap_14,bar_14 - bar_15,34.44
15,gap_15,bar_15 - bar_16,34.05
16,gap_16,bar_16 - bar_17,33.45
17,gap_17,bar_17 - bar_18,32.59
18,gap_18,bar_18 - bar_19,31.41
19,gap_19,bar_19 - bar_20,29.86
20,gap_20,bar_20 - bar_21,27.92
21,gap_21,bar_21 - bar_22,25.6
22,gap_22,bar_22 - bar_23,22.94
23,gap_23,bar_23 - bar_24,20.03
24,gap_24,bar_24 - bar_25,16.98
25,gap_25,bar_25 - bar_26,13.96
26,gap_26,bar_26 - bar_27,11.14
27,gap_27,bar_27 - bar_28,8.71
28,gap_28,bar_28 - bar_29,6.84
29,gap_29,bar_29 - bar_30,5.65
30,right_edge_gap,bar_30 - right_frame,5.25
