bar_no,x_left_mm,x_center_mm,x_right_mm,bar_width_mm,bar_thickness_mm,bar_length_mm
1,86.3,88.8,91.3,5.0,12.0,600.0
2,173.33,175.83,178.33,5.0,12.0,600.0
3,256.09,258.59,261.09,5.0,12.0,600.0
4,334.59,337.09,339.59,5.0,12.0,600.0
5,408.82,411.32,413.82,5.0,12.0,600.0
6,478.78,481.28,483.78,5.0,12.0,600.0
7,544.47,546.97,549.47,5.0,12.0,600.0
8,605.9,608.4,610.9,5.0,12.0,600.0
9,663.06,665.56,668.06,5.0,12.0,600.0
10,715.96,718.46,720.96,5.0,12.0,600.0
11,764.59,767.09,769.59,5.0,12.0,600.0
12,808.95,811.45,813.95,5.0,12.0,600.0
13,849.04,851.54,854.04,5.0,12.0,600.0
14,884.87,887.37,889.87,5.0,12.0,600.0
15,916.43,918.93,921.43,5.0,12.0,600.0
16,943.72,946.22,948.72,5.0,12.0,600.0
17,966.75,969.25,971.75,5.0,12.0,600.0
18,985.51,988.01,990.51,5.0,12.0,600.0
