gap_no,gap_name,between,gap_mm
0,left_edge_gap,left_frame - bar_1,86.3
1,gap_1,bar_1 - bar_2,82.03
2,gap_2,bar_2 - bar_3,77.76
3,gap_3,bar_3 - bar_4,73.5
4,gap_4,bar_4 - bar_5,69.23
5,gap_5,bar_5 - bar_6,64.96
6,gap_6,bar_6 - bar_7,60.7
7,gap_7,bar_7 - bar_8,56.43
8,gap_8,bar_8 - bar_9,52.16
9,gap_9,bar_9 - bar_10,47.89
10,gap_10,bar_10 - bar_11,43.63
11,gap_11,bar_11 - bar_12,39.36
12,gap_12,bar_12 - bar_13,35.09
13,gap_13,bar_13 - bar_14,30.83
14,gap_14,bar_14 - bar_15,26.56
15,gap_15,bar_15 - bar_16,22.29
16,gap_16,bar_16 - bar_17,18.03
17,gap_17,bar_17 - bar_18,13.76
18,right_edge_gap,bar_18 - right_frame,9.49
