bar_no,x_left_mm,x_center_mm,x_right_mm,bar_width_mm,bar_thickness_mm,bar_length_mm
1,89.71,92.21,94.71,5.0,12.0,600.0
2,145.8,148.3,150.8,5.0,12.0,600.0
3,196.14,198.64,201.14,5.0,12.0,600.0
4,242.74,245.24,247.74,5.0,12.0,600.0
5,286.49,288.99,291.49,5.0,12.0,600.0
6,327.91,330.41,332.91,5.0,12.0,600.0
7,367.35,369.85,372.35,5.0,12.0,600.0
8,405.06,407.56,410.06,5.0,12.0,600.0
9,441.23,443.73,446.23,5.0,12.0,600.0
10,476.01,478.51,481.01,5.0,12.0,600.0
11,509.5,512.0,514.5,5.0,12.0,600.0
12,541.82,544.32,546.82,5.0,12.0,600.0
13,573.05,575.55,578.05,5.0,12.0,600.0
14,603.25,605.75,608.25,5.0,12.0,600.0
15,632.49,634.99,637.49,5.0,12.0,600.0
16,660.81,663.31,665.81,5.0,12.0,600.0
17,688.28,690.78,693.28,5.0,12.0,600.0
18,714.92,717.42,719.92,5.0,12.0,600.0
19,740.78,743.28,745.78,5.0,12.0,600.0
20,765.9,768.4,770.9,5.0,12.0,600.0
21,790.29,792.79,795.29,5.0,12.0,600.0
22,814.0,816.5,819.0,5.0,12.0,600.0
23,837.04,839.54,842.04,5.0,12.0,600.0
24,859.45,861.95,864.45,5.0,12.0,600.0
25,881.23,883.73,886.23,5.0,12.0,600.0
26,902.42,904.92,907.42,5.0,12.0,600.0
27,923.02,925.52,928.02,5.0,12.0,600.0
28,943.07,945.57,948.07,5.0,12.0,600.0
29,962.57,965.07,967.57,5.0,12.0,600.0
30,981.54,984.04,986.54,5.0,12.0,600.0
