gap_no,gap_name,between,gap_mm
0,left_edge_gap,left_frame - bar_1,89.71
1,gap_1,bar_1 - bar_2,51.09
2,gap_2,bar_2 - bar_3,45.34
3,gap_3,bar_3 - bar_4,41.6
4,gap_4,bar_4 - bar_5,38.75
5,gap_5,bar_5 - bar_6,36.42
6,gap_6,bar_6 - bar_7,34.44
7,gap_7,bar_7 - bar_8,32.71
8,gap_8,bar_8 - bar_9,31.17
9,gap_9,bar_9 - bar_10,29.77
10,gap_10,bar_10 - bar_11,28.5
11,gap_11,bar_11 - bar_12,27.32
12,gap_12,bar_12 - bar_13,26.22
13,gap_13,bar_13 - bar_14,25.2
14,gap_14,bar_14 - bar_15,24.24
15,gap_15,bar_15 - bar_16,23.33
16,gap_16,bar_16 - bar_17,22.46
17,gap_17,bar_17 - bar_18,21.64
18,gap_18,bar_18 - bar_19,20.86
19,gap_19,bar_19 - bar_20,20.11
20,gap_20,bar_20 - bar_21,19.4
21,gap_21,bar_21 - bar_22,18.71
22,gap_22,bar_22 - bar_23,18.04
23,gap_23,bar_23 - bar_24,17.4
24,gap_24,bar_24 - bar_25,16.78
25,gap_25,bar_25 - bar_26,16.19
26,gap_26,bar_26 - bar_27,15.61
27,gap_27,bar_27 - bar_28,15.05
28,gap_28,bar_28 - bar_29,14.5
29,gap_29,bar_29 - bar_30,13.97
30,right_edge_gap,bar_30 - right_frame,13.46
