bar_no,x_left_mm,x_center_mm,x_right_mm,bar_width_mm,bar_thickness_mm,bar_length_mm
1,33.32,35.82,38.32,5.0,12.0,600.0
2,71.63,74.13,76.63,5.0,12.0,600.0
3,109.95,112.45,114.95,5.0,12.0,600.0
4,148.27,150.77,153.27,5.0,12.0,600.0
5,186.58,189.08,191.58,5.0,12.0,600.0
6,224.89,227.39,229.89,5.0,12.0,600.0
7,263.19,265.69,268.19,5.0,12.0,600.0
8,301.47,303.97,306.47,5.0,12.0,600.0
9,339.73,342.23,344.73,5.0,12.0,600.0
10,377.93,380.43,382.93,5.0,12.0,600.0
11,416.07,418.57,421.07,5.0,12.0,600.0
12,454.1,456.6,459.1,5.0,12.0,600.0
13,491.99,494.49,496.99,5.0,12.0,600.0
14,529.69,532.19,534.69,5.0,12.0,600.0
15,567.13,569.63,572.13,5.0,12.0,600.0
16,604.22,606.72,609.22,5.0,12.0,600.0
17,640.89,643.39,645.89,5.0,12.0,600.0
18,677.02,679.52,682.02,5.0,12.0,600.0
19,712.46,714.96,717.46,5.0,12.0,600.0
20,747.08,749.58,752.08,5.0,12.0,600.0
21,780.69,783.19,785.69,5.0,12.0,600.0
22,813.09,815.59,818.09,5.0,12.0,600.0
23,844.04,846.54,849.04,5.0,12.0,600.0
24,873.28,875.78,878.28,5.0,12.0,600.0
25,900.5,903.0,905.5,5.0,12.0,600.0
26,925.39,927.89,930.39,5.0,12.0,600.0
27,947.55,950.05,952.55,5.0,12.0,600.0
28,966.58,969.08,971.58,5.0,12.0,600.0
29,982.01,984.51,987.01,5.0,12.0,600.0
30,993.33,995.83,998.33,5.0,12.0,600.0
