gap_no,gap_name,between,gap_mm
0,left_edge_gap,left_frame - bar_1,33.32
1,gap_1,bar_1 - bar_2,33.32
2,gap_2,bar_2 - bar_3,33.32
3,gap_3,bar_3 - bar_4,33.32
4,gap_4,bar_4 - bar_5,33.31
5,gap_5,bar_5 - bar_6,33.31
6,gap_6,bar_6 - bar_7,33.3
7,gap_7,bar_7 - bar_8,33.28
8,gap_8,bar_8 - bar_9,33.25
9,gap_9,bar_9 - bar_10,33.21
10,gap_10,bar_10 - bar_11,33.14
11,gap_11,bar_11 - bar_12,33.03
12,gap_12,bar_12 - bar_13,32.89
13,gap_13,bar_13 - bar_14,32.7
14,gap_14,bar_14 - bar_15,32.44
15,gap_15,bar_15 - bar_16,32.1
16,gap_16,bar_16 - bar_17,31.67
17,gap_17,bar_17 - bar_18,31.12
18,gap_18,bar_18 - bar_19,30.45
19,gap_19,bar_19 - bar_20,29.62
20,gap_20,bar_20 - bar_21,28.61
21,gap_21,bar_21 - bar_22,27.4
22,gap_22,bar_22 - bar_23,25.95
23,gap_23,bar_23 - bar_24,24.24
24,gap_24,bar_24 - bar_25,22.23
25,gap_25,bar_25 - bar_26,19.88
26,gap_26,bar_26 - bar_27,17.16
27,gap_27,bar_27 - bar_28,14.03
28,gap_28,bar_28 - bar_29,10.43
29,gap_29,bar_29 - bar_30,6.33
30,right_edge_gap,bar_30 - right_frame,1.67
