bar_no,x_left_mm,x_center_mm,x_right_mm,bar_width_mm,bar_thickness_mm,bar_length_mm
1,3.85,6.35,8.85,5.0,12.0,600.0
2,13.74,16.24,18.74,5.0,12.0,600.0
3,25.91,28.41,30.91,5.0,12.0,600.0
4,41.22,43.72,46.22,5.0,12.0,600.0
5,60.39,62.89,65.39,5.0,12.0,600.0
6,83.97,86.47,88.97,5.0,12.0,600.0
7,112.41,114.91,117.41,5.0,12.0,600.0
8,146.03,148.53,151.03,5.0,12.0,600.0
9,185.01,187.51,190.01,5.0,12.0,600.0
10,229.44,231.94,234.44,5.0,12.0,600.0
11,279.3,281.8,284.3,5.0,12.0,600.0
12,334.43,336.93,339.43,5.0,12.0,600.0
13,394.61,397.11,399.61,5.0,12.0,600.0
14,459.47,461.97,464.47,5.0,12.0,600.0
15,528.6,531.1,533.6,5.0,12.0,600.0
16,601.49,603.99,606.49,5.0,12.0,600.0
17,677.54,680.04,682.54,5.0,12.0,600.0
18,756.12,758.62,761.12,5.0,12.0,600.0
19,836.54,839.04,841.54,5.0,12.0,600.0
20,918.08,920.58,923.08,5.0,12.0,600.0
