gap_no,gap_name,between,gap_mm
0,left_edge_gap,left_frame - bar_1,3.85
1,gap_1,bar_1 - bar_2,4.9
2,gap_2,bar_2 - bar_3,7.16
3,gap_3,bar_3 - bar_4,10.31
4,gap_4,bar_4 - bar_5,14.17
5,gap_5,bar_5 - bar_6,18.58
6,gap_6,bar_6 - bar_7,23.44
7,gap_7,bar_7 - bar_8,28.61
8,gap_8,bar_8 - bar_9,33.98
9,gap_9,bar_9 - bar_10,39.43
10,gap_10,bar_10 - bar_11,44.86
11,gap_11,bar_11 - bar_12,50.14
12,gap_12,bar_12 - bar_13,55.17
13,gap_13,bar_13 - bar_14,59.87
14,gap_14,bar_14 - bar_15,64.13
15,gap_15,bar_15 - bar_16,67.88
16,gap_16,bar_16 - bar_17,71.05
17,gap_17,bar_17 - bar_18,73.58
18,gap_18,bar_18 - bar_19,75.42
19,gap_19,bar_19 - bar_20,76.54
20,right_edge_gap,bar_20 - right_frame,76.92
