bar_no,x_left_mm,x_center_mm,x_right_mm,bar_width_mm,bar_thickness_mm,bar_length_mm
1,46.98,49.48,51.98,5.0,12.0,600.0
2,97.82,100.32,102.82,5.0,12.0,600.0
3,147.51,150.01,152.51,5.0,12.0,600.0
4,196.02,198.52,201.02,5.0,12.0,600.0
5,243.35,245.85,248.35,5.0,12.0,600.0
6,289.47,291.97,294.47,5.0,12.0,600.0
7,334.37,336.87,339.37,5.0,12.0,600.0
8,378.04,380.54,383.04,5.0,12.0,600.0
9,420.45,422.95,425.45,5.0,12.0,600.0
10,461.59,464.09,466.59,5.0,12.0,600.0
11,501.45,503.95,506.45,5.0,12.0,600.0
12,540.0,542.5,545.0,5.0,12.0,600.0
13,577.23,579.73,582.23,5.0,12.0,600.0
14,613.13,615.63,618.13,5.0,12.0,600.0
15,647.66,650.16,652.66,5.0,12.0,600.0
16,680.82,683.32,685.82,5.0,12.0,600.0
17,712.59,715.09,717.59,5.0,12.0,600.0
18,742.94,745.44,747.94,5.0,12.0,600.0
19,771.86,774.36,776.86,5.0,12.0,600.0
20,799.33,801.83,804.33,5.0,12.0,600.0
21,825.33,827.83,830.33,5.0,12.0,600.0
22,849.84,852.34,854.84,5.0,12.0,600.0
23,872.84,875.34,877.84,5.0,12.0,600.0
24,894.31,896.81,899.31,5.0,12.0,600.0
25,914.23,916.73,919.23,5.0,12.0,600.0
26,932.58,935.08,937.58,5.0,12.0,600.0
27,949.34,951.84,954.34,5.0,12.0,600.0
28,964.48,966.98,969.48,5.0,12.0,600.0
29,977.98,980.48,982.98,5.0,12.0,600.0
30,989.83,992.33,994.83,5.0,12.0,600.0
