gap_no,gap_name,between,gap_mm
0,left_edge_gap,left_frame - bar_1,46.98
1,gap_1,bar_1 - bar_2,45.84
2,gap_2,bar_2 - bar_3,44.69
3,gap_3,bar_3 - bar_4,43.51
4,gap_4,bar_4 - bar_5,42.33
5,gap_5,bar_5 - bar_6,41.12
6,gap_6,bar_6 - bar_7,39.9
7,gap_7,bar_7 - bar_8,38.67
8,gap_8,bar_8 - bar_9,37.41
9,gap_9,bar_9 - bar_10,36.14
10,gap_10,bar_10 - bar_11,34.86
11,gap_11,bar_11 - bar_12,33.55
12,gap_12,bar_12 - bar_13,32.23
13,gap_13,bar_13 - bar_14,30.89
14,gap_14,bar_14 - bar_15,29.53
15,gap_15,bar_15 - bar_16,28.16
16,gap_16,bar_16 - bar_17,26.77
17,gap_17,bar_17 - bar_18,25.35
18,gap_18,bar_18 - bar_19,23.92
19,gap_19,bar_19 - bar_20,22.47
20,gap_20,bar_20 - bar_21,21.0
21,gap_21,bar_21 - bar_22,19.51
22,gap_22,bar_22 - bar_23,18.0
23,gap_23,bar_23 - bar_24,16.47
24,gap_24,bar_24 - bar_25,14.92
25,gap_25,bar_25 - bar_26,13.35
26,gap_26,bar_26 - bar_27,11.76
27,gap_27,bar_27 - bar_28,10.14
28,gap_28,bar_28 - bar_29,8.51
29,gap_29,bar_29 - bar_30,6.85
30,right_edge_gap,bar_30 - right_frame,5.17
