bar_no,x_left_mm,x_center_mm,x_right_mm,bar_width_mm,bar_thickness_mm,bar_length_mm
1,5.2,7.7,10.2,5.0,12.0,600.0
2,15.41,17.91,20.41,5.0,12.0,600.0
3,25.67,28.17,30.67,5.0,12.0,600.0
4,36.17,38.67,41.17,5.0,12.0,600.0
5,47.27,49.77,52.27,5.0,12.0,600.0
6,59.59,62.09,64.59,5.0,12.0,600.0
7,73.99,76.49,78.99,5.0,12.0,600.0
8,91.56,94.06,96.56,5.0,12.0,600.0
9,113.56,116.06,118.56,5.0,12.0,600.0
10,141.35,143.85,146.35,5.0,12.0,600.0
11,176.26,178.76,181.26,5.0,12.0,600.0
12,219.51,222.01,224.51,5.0,12.0,600.0
13,272.06,274.56,277.06,5.0,12.0,600.0
14,334.5,337.0,339.5,5.0,12.0,600.0
15,407.0,409.5,412.0,5.0,12.0,600.0
16,489.22,491.72,494.22,5.0,12.0,600.0
17,580.29,582.79,585.29,5.0,12.0,600.0
18,678.85,681.35,683.85,5.0,12.0,600.0
19,783.12,785.62,788.12,5.0,12.0,600.0
20,890.95,893.45,895.95,5.0,12.0,600.0
