gap_no,gap_name,between,gap_mm
0,left_edge_gap,left_frame - bar_1,5.2
1,gap_1,bar_1 - bar_2,5.21
2,gap_2,bar_2 - bar_3,5.26
3,gap_3,bar_3 - bar_4,5.5
4,gap_4,bar_4 - bar_5,6.1
5,gap_5,bar_5 - bar_6,7.32
6,gap_6,bar_6 - bar_7,9.4
7,gap_7,bar_7 - bar_8,12.57
8,gap_8,bar_8 - bar_9,17.0
9,gap_9,bar_9 - bar_10,22.79
10,gap_10,bar_10 - bar_11,29.91
11,gap_11,bar_11 - bar_12,38.25
12,gap_12,bar_12 - bar_13,47.55
13,gap_13,bar_13 - bar_14,57.44
14,gap_14,bar_14 - bar_15,67.5
15,gap_15,bar_15 - bar_16,77.22
16,gap_16,bar_16 - bar_17,86.07
17,gap_17,bar_17 - bar_18,93.57
18,gap_18,bar_18 - bar_19,99.27
19,gap_19,bar_19 - bar_20,102.83
20,right_edge_gap,bar_20 - right_frame,104.05
