bar_no,x_left_mm,x_center_mm,x_right_mm,bar_width_mm,bar_thickness_mm,bar_length_mm
1,92.12,94.62,97.12,5.0,12.0,600.0
2,186.93,189.43,191.93,5.0,12.0,600.0
3,277.87,280.37,282.87,5.0,12.0,600.0
4,364.04,366.54,369.04,5.0,12.0,600.0
5,444.81,447.31,449.81,5.0,12.0,600.0
6,519.74,522.24,524.74,5.0,12.0,600.0
7,588.53,591.03,593.53,5.0,12.0,600.0
8,651.03,653.53,656.03,5.0,12.0,600.0
9,707.19,709.69,712.19,5.0,12.0,600.0
10,757.07,759.57,762.07,5.0,12.0,600.0
11,800.85,803.35,805.85,5.0,12.0,600.0
12,838.79,841.29,843.79,5.0,12.0,600.0
13,871.26,873.76,876.26,5.0,12.0,600.0
14,898.69,901.19,903.69,5.0,12.0,600.0
15,921.6,924.1,926.6,5.0,12.0,600.0
16,940.56,943.06,945.56,5.0,12.0,600.0
17,956.22,958.72,961.22,5.0,12.0,600.0
18,969.26,971.76,974.26,5.0,12.0,600.0
19,980.4,982.9,985.4,5.0,12.0,600.0
20,990.39,992.89,995.39,5.0,12.0,600.0
