bar_no,x_left_mm,x_center_mm,x_right_mm,bar_width_mm,bar_thickness_mm,bar_length_mm
1,4.08,6.58,9.08,5.0,12.0,600.0
2,17.04,19.54,22.04,5.0,12.0,600.0
3,33.88,36.38,38.88,5.0,12.0,600.0
4,54.59,57.09,59.59,5.0,12.0,600.0
5,79.18,81.68,84.18,5.0,12.0,600.0
6,107.65,110.15,112.65,5.0,12.0,600.0
7,140.0,142.5,145.0,5.0,12.0,600.0
8,176.22,178.72,181.22,5.0,12.0,600.0
9,216.33,218.83,221.33,5.0,12.0,600.0
10,260.31,262.81,265.31,5.0,12.0,600.0
11,308.16,310.66,313.16,5.0,12.0,600.0
12,359.9,362.4,364.9,5.0,12.0,600.0
13,415.51,418.01,420.51,5.0,12.0,600.0
14,475.0,477.5,480.0,5.0,12.0,600.0
15,538.37,540.87,543.37,5.0,12.0,600.0
16,605.61,608.11,610.61,5.0,12.0,600.0
17,676.73,679.23,681.73,5.0,12.0,600.0
18,751.73,754.23,756.73,5.0,12.0,600.0
19,830.61,833.11,835.61,5.0,12.0,600.0
20,913.37,915.87,918.37,5.0,12.0,600.0
