gap_no,gap_name,between,gap_mm
0,left_edge_gap,left_frame - bar_1,4.08
1,gap_1,bar_1 - bar_2,7.96
2,gap_2,bar_2 - bar_3,11.84
3,gap_3,bar_3 - bar_4,15.71
4,gap_4,bar_4 - bar_5,19.59
5,gap_5,bar_5 - bar_6,23.47
6,gap_6,bar_6 - bar_7,27.35
7,gap_7,bar_7 - bar_8,31.22
8,gap_8,bar_8 - bar_9,35.1
9,gap_9,bar_9 - bar_10,38.98
10,gap_10,bar_10 - bar_11,42.86
11,gap_11,bar_11 - bar_12,46.73
12,gap_12,bar_12 - bar_13,50.61
13,gap_13,bar_13 - bar_14,54.49
14,gap_14,bar_14 - bar_15,58.37
15,gap_15,bar_15 - bar_16,62.24
16,gap_16,bar_16 - bar_17,66.12
17,gap_17,bar_17 - bar_18,70.0
18,gap_18,bar_18 - bar_19,73.88
19,gap_19,bar_19 - bar_20,77.76
20,right_edge_gap,bar_20 - right_frame,81.63
