bar_no,x_left_mm,x_center_mm,x_right_mm,bar_width_mm,bar_thickness_mm,bar_length_mm
1,60.44,62.94,65.44,5.0,12.0,600.0
2,124.14,126.64,129.14,5.0,12.0,600.0
3,186.12,188.62,191.12,5.0,12.0,600.0
4,246.4,248.9,251.4,5.0,12.0,600.0
5,305.02,307.52,310.02,5.0,12.0,600.0
6,362.03,364.53,367.03,5.0,12.0,600.0
7,417.5,420.0,422.5,5.0,12.0,600.0
8,471.5,474.0,476.5,5.0,12.0,600.0
9,524.12,526.62,529.12,5.0,12.0,600.0
10,575.46,577.96,580.46,5.0,12.0,600.0
11,625.62,628.12,630.62,5.0,12.0,600.0
12,674.73,677.23,679.73,5.0,12.0,600.0
13,722.89,725.39,727.89,5.0,12.0,600.0
14,770.26,772.76,775.26,5.0,12.0,600.0
15,816.96,819.46,821.96,5.0,12.0,600.0
16,863.13,865.63,868.13,5.0,12.0,600.0
17,908.93,911.43,913.93,5.0,12.0,600.0
18,954.5,957.0,959.5,5.0,12.0,600.0
