gap_no,gap_name,between,gap_mm
0,left_edge_gap,left_frame - bar_1,60.44
1,gap_1,bar_1 - bar_2,58.7
2,gap_2,bar_2 - bar_3,56.98
3,gap_3,bar_3 - bar_4,55.28
4,gap_4,bar_4 - bar_5,53.62
5,gap_5,bar_5 - bar_6,52.01
6,gap_6,bar_6 - bar_7,50.47
7,gap_7,bar_7 - bar_8,49.0
8,gap_8,bar_8 - bar_9,47.62
9,gap_9,bar_9 - bar_10,46.34
10,gap_10,bar_10 - bar_11,45.16
11,gap_11,bar_11 - bar_12,44.1
12,gap_12,bar_12 - bar_13,43.17
13,gap_13,bar_13 - bar_14,42.36
14,gap_14,bar_14 - bar_15,41.7
15,gap_15,bar_15 - bar_16,41.18
16,gap_16,bar_16 - bar_17,40.8
17,gap_17,bar_17 - bar_18,40.57
18,right_edge_gap,bar_18 - right_frame,40.5
