bar_no,x_left_mm,x_center_mm,x_right_mm,bar_width_mm,bar_thickness_mm,bar_length_mm
1,73.66,76.16,78.66,5.0,12.0,600.0
2,135.51,138.01,140.51,5.0,12.0,600.0
3,191.98,194.48,196.98,5.0,12.0,600.0
4,244.54,247.04,249.54,5.0,12.0,600.0
5,293.92,296.42,298.92,5.0,12.0,600.0
6,340.57,343.07,345.57,5.0,12.0,600.0
7,384.79,387.29,389.79,5.0,12.0,600.0
8,426.83,429.33,431.83,5.0,12.0,600.0
9,466.85,469.35,471.85,5.0,12.0,600.0
10,505.01,507.51,510.01,5.0,12.0,600.0
11,541.43,543.93,546.43,5.0,12.0,600.0
12,576.2,578.7,581.2,5.0,12.0,600.0
13,609.42,611.92,614.42,5.0,12.0,600.0
14,641.16,643.66,646.16,5.0,12.0,600.0
15,671.49,673.99,676.49,5.0,12.0,600.0
16,700.47,702.97,705.47,5.0,12.0,600.0
17,728.15,730.65,733.15,5.0,12.0,600.0
18,754.58,757.08,759.58,5.0,12.0,600.0
19,779.8,782.3,784.8,5.0,12.0,600.0
20,803.85,806.35,808.85,5.0,12.0,600.0
21,826.76,829.26,831.76,5.0,12.0,600.0
22,848.58,851.08,853.58,5.0,12.0,600.0
23,869.34,871.84,874.34,5.0,12.0,600.0
24,889.05,891.55,894.05,5.0,12.0,600.0
25,907.75,910.25,912.75,5.0,12.0,600.0
26,925.46,927.96,930.46,5.0,12.0,600.0
27,942.22,944.72,947.22,5.0,12.0,600.0
28,958.02,960.52,963.02,5.0,12.0,600.0
29,972.91,975.41,977.91,5.0,12.0,600.0
30,986.9,989.4,991.9,5.0,12.0,600.0
