gap_no,gap_name,between,gap_mm
0,left_edge_gap,left_frame - bar_1,73.66
1,gap_1,bar_1 - bar_2,56.84
2,gap_2,bar_2 - bar_3,51.47
3,gap_3,bar_3 - bar_4,47.56
4,gap_4,bar_4 - bar_5,44.38
5,gap_5,bar_5 - bar_6,41.65
6,gap_6,bar_6 - bar_7,39.22
7,gap_7,bar_7 - bar_8,37.03
8,gap_8,bar_8 - bar_9,35.02
9,gap_9,bar_9 - bar_10,33.16
10,gap_10,bar_10 - bar_11,31.42
11,gap_11,bar_11 - bar_12,29.77
12,gap_12,bar_12 - bar_13,28.22
13,gap_13,bar_13 - bar_14,26.74
14,gap_14,bar_14 - bar_15,25.33
15,gap_15,bar_15 - bar_16,23.98
16,gap_16,bar_16 - bar_17,22.68
17,gap_17,bar_17 - bar_18,21.43
18,gap_18,bar_18 - bar_19,20.22
19,gap_19,bar_19 - bar_20,19.05
20,gap_20,bar_20 - bar_21,17.92
21,gap_21,bar_21 - bar_22,16.82
22,gap_22,bar_22 - bar_23,15.75
23,gap_23,bar_23 - bar_24,14.71
24,gap_24,bar_24 - bar_25,13.7
25,gap_25,bar_25 - bar_26,12.71
26,gap_26,bar_26 - bar_27,11.75
27,gap_27,bar_27 - bar_28,10.81
28,gap_28,bar_28 - bar_29,9.89
29,gap_29,bar_29 - bar_30,8.99
30,right_edge_gap,bar_30 - right_frame,8.1
