bar_no,x_left_mm,x_center_mm,x_right_mm,bar_width_mm,bar_thickness_mm,bar_length_mm
1,215.32,217.82,220.32,5.0,12.0,600.0
2,342.33,344.83,347.33,5.0,12.0,600.0
3,445.29,447.79,450.29,5.0,12.0,600.0
4,531.68,534.18,536.68,5.0,12.0,600.0
5,605.23,607.73,610.23,5.0,12.0,600.0
6,668.32,670.82,673.32,5.0,12.0,600.0
7,722.71,725.21,727.71,5.0,12.0,600.0
8,769.76,772.26,774.76,5.0,12.0,600.0
9,810.65,813.15,815.65,5.0,12.0,600.0
10,846.39,848.89,851.39,5.0,12.0,600.0
11,877.89,880.39,882.89,5.0,12.0,600.0
12,906.0,908.5,911.0,5.0,12.0,600.0
13,931.51,934.01,936.51,5.0,12.0,600.0
14,955.19,957.69,960.19,5.0,12.0,600.0
15,977.77,980.27,982.77,5.0,12.0,600.0
