bar_no,x_left_mm,x_center_mm,x_right_mm,bar_width_mm,bar_thickness_mm,bar_length_mm
1,58.74,61.24,63.74,5.0,12.0,600.0
2,122.38,124.88,127.38,5.0,12.0,600.0
3,185.88,188.38,190.88,5.0,12.0,600.0
4,249.19,251.69,254.19,5.0,12.0,600.0
5,312.26,314.76,317.26,5.0,12.0,600.0
6,375.0,377.5,380.0,5.0,12.0,600.0
7,437.31,439.81,442.31,5.0,12.0,600.0
8,499.05,501.55,504.05,5.0,12.0,600.0
9,560.02,562.52,565.02,5.0,12.0,600.0
10,619.97,622.47,624.97,5.0,12.0,600.0
11,678.58,681.08,683.58,5.0,12.0,600.0
12,735.41,737.91,740.41,5.0,12.0,600.0
13,789.86,792.36,794.86,5.0,12.0,600.0
14,841.17,843.67,846.17,5.0,12.0,600.0
15,888.3,890.8,893.3,5.0,12.0,600.0
16,929.88,932.38,934.88,5.0,12.0,600.0
17,964.1,966.6,969.1,5.0,12.0,600.0
18,988.54,991.04,993.54,5.0,12.0,600.0
