bar_no,x_left_from_left,x_right_from_left,x_center_from_left,x_right_from_right,x_left_from_right,x_center_from_right,left_gap,right_gap,bar_width,bar_height,bar_thickness
1,154.0,159.0,156.5,841.0,846.0,843.5,154.0,116.5,5,600,12
2,275.5,280.5,278.0,719.5,724.5,722.0,116.5,88.0,5,600,12
3,368.5,373.5,371.0,626.5,631.5,629.0,88.0,73.5,5,600,12
4,447.0,452.0,449.5,548.0,553.0,550.5,73.5,63.5,5,600,12
5,515.5,520.5,518.0,479.5,484.5,482.0,63.5,55.0,5,600,12
6,575.5,580.5,578.0,419.5,424.5,422.0,55.0,48.0,5,600,12
7,628.5,633.5,631.0,366.5,371.5,369.0,48.0,42.0,5,600,12
8,675.5,680.5,678.0,319.5,324.5,322.0,42.0,36.5,5,600,12
9,717.0,722.0,719.5,278.0,283.0,280.5,36.5,31.5,5,600,12
10,753.5,758.5,756.0,241.5,246.5,244.0,31.5,27.5,5,600,12
11,786.0,791.0,788.5,209.0,214.0,211.5,27.5,24.0,5,600,12
12,815.0,820.0,817.5,180.0,185.0,182.5,24.0,21.5,5,600,12
13,841.5,846.5,844.0,153.5,158.5,156.0,21.5,19.5,5,600,12
14,866.0,871.0,868.5,129.0,134.0,131.5,19.5,17.5,5,600,12
15,888.5,893.5,891.0,106.5,111.5,109.0,17.5,15.5,5,600,12
16,909.0,914.0,911.5,86.0,91.0,88.5,15.5,14.5,5,600,12
17,928.5,933.5,931.0,66.5,71.5,69.0,14.5,13.5,5,600,12
18,947.0,952.0,949.5,48.0,53.0,50.5,13.5,13.0,5,600,12
19,965.0,970.0,967.5,30.0,35.0,32.5,13.0,12.5,5,600,12
20,982.5,987.5,985.0,12.5,17.5,15.0,12.5,12.5,5,600,12
